,title,n_sentences,keywords
10,Yahoo Finance,"['Adelson died Jan', 'Las Vegas Sands Chairman and CEO Robert Goldstein said the transaction signals a new focus on markets outside of Nevadas gambling capital', 'As we announce the sale of The Venetian Resort, we pay tribute to Mr']","['adelson', 'died', 'jan.las', 'vegas', 'sands']"
11,Yahoo Finance,"['In Q1 2021, Nu Skin Enterprises, Inc', 'NUS) showed a 31', 'year-over-year growth in revenue at $577 million']","['million', 'year', 'skin', 'enterprises', 'inc.nus']"
12,Yahoo Finance,"['Apart from this, the companys buyout of the iconic Burberry brand has been yielding favorably', 'This acquisition has been supporting growth in the Prestige segment', 'Cotys e-commerce business has been performing impressively for a while now']","['companys', 'buyout', 'iconic', 'burberry', 'brand']"
13,"Kylie Jenner, Kim Kardashian West Beauty Brands Get New Leader","['Helming the businesses will be Anna von Bayern, Cotys chief corporate affairs officer', 'The brands general manager, Vanessa Reggiardo, will continue to oversee operations', 'Per the companys most recent earnings call in November, Cotys prestige division -- which includes Jenners and Kardashian Wests brands, as well as Gucci -- saw a 35 percent increase in net sales to $870']","['helming', 'cotys', 'brands', 'businesses', 'anna']"
14,Yahoo Finance,"['Regis Corporation (NYSE', 'RGS) offers hair care services through its brands Supercuts, SmartStyle, MasterCuts, among others', 'In January 2021, Regis Corporation (NYSE']","['regis', 'corporation', 'nyse', 'nyse.rgs', 'offers']"
15,Yahoo Finance,"['There appears to be several big makeup brand winners emerging', 'LOreals Maybelline brand has seen sales spike 28', 'over the past four weeks']","['spike', 'weeks', 'brand', 'big', 'makeup']"
16,Yahoo Finance,"[', and it needs to be considered that much of its assets could be trading above market value as the financial markets have been in a topsy-turvy period, leading to many assets being oversold', 'The bottom line I believe JPMorgan stock could be set to recover as a higher interest-rate environment coupled with robust operating activities could help the stock reach its fair value', 'JPMorgan is trading above its book value, but it needs to be considered that the companys assets may be undervalued after a trying time for financial markets']","['considered', 'assets', 'trading', 'financial', 'markets']"
17,JPMorgan says stocks in these sectors will lead markets higher as economy recovers,"['Overnight in the U', ', President Joe Biden signed a massive $1', '9 trillion coronavirus relief package that will put cash into the hands of Americans']","['overnight', 'massive', 'trillion', 'americans', 'president']"
18,,"['GS stock price has gained 77', 'over the past year, while JPMs returned 61', 'gains over the past nine months are significantly higher than JPMs 48']","['past', 'gained', 'returned', 'gains', 'jpms']"
19,Yahoo Finance,"['We view Cash App as the ultimate challenger bank', 'Our detailed build of potential products shows a clear path from Cash Apps current $40-50 average revenue per user (ARPU) to $150-200 over the coming years by adding products that range from tax services, to insurance, to home equity lending Dolev said', 'Dolev expects Square to add products that range from tax services, to insurance, to home equity lending on the Cash App']","['cash', 'products', 'range', 'tax', 'services']"
20,Yahoo Finance,"['Per the agreement reached on Mar 4, following a meeting between OPEC led by Saudi Arabia and Russia-led non-OPEC producers, majority of OPEC', 'members decided to keep the output unchanged', 'Overall, the massive improvement in oil price is definitely a boon for ExxonMobils upstream operations']","['opec', 'led', 'operations', 'agreement', 'reached']"
21,News From Shell & ExxonMobil Dominate Oil & Gas Stock Roundup,"['Want the latest recommendations from Zacks Investment Research', 'Today, you can download 7 Best Stocks for the Next 30 Days', 'Click to get this free report Exxon Mobil Corporation (XOM)']","['xom', 'latest', 'recommendations', 'zacks', 'investment']"
22,Yahoo Finance,"['of shares outstanding', 'For context, the second largest shareholder holds about 6', 'of the shares outstanding, followed by an ownership of 6']","['shares', 'outstanding.for', 'context', 'largest', 'shareholder']"
23,Yahoo Finance,"['Considering Exxon Mobils $358', '04 billion in total assets, the debt-ratio is at 0', 'As a rule of thumb, a debt-ratio more than one indicates that a considerable portion of debt is funded by assets']","['debt', 'ratio', 'mobils', 'billion', 'assets']"
24,Yahoo Finance,"['5 billion for 2021, so the price target works out to $306', 'above Exxons existing market cap of $236', 'In other words, XOM stock is worth nearly 30']","['billion', 'price', 'target', 'works', 'exxons']"
25,Yahoo Finance,"['A more proactive approach to low-carbon investments helps mitigate energy transition risks, while also offering new attractive growth options', 'Reiterate Overweight, said Devin McDermott, equity and commodity analyst at Morgan Stanley', 'Several other analysts have also recently commented on the stock']","['stock', 'proactive', 'approach', 'low', 'carbon']"
26,Yahoo Finance,"['Beginning in the first quarter of 2022, the company announced share repurchases associated with the previously announced buyback program of up to $10 billion over the next 12 to 24 months', 'Following this, Exxon Mobil stock rose over 1', '1 in pre-market trading on Tuesday']","['announced', 'beginning', 'tuesday', 'quarter', 'company']"
27,Yahoo Finance,"['83 billion in cash-equivalents, the company has a net debt of $59', 'Lets define some of the terms we used in the paragraph above', 'Current debt is the portion of a companys debt which is due within 1 year, while long-term debt is the portion due in more than 1 year']","['debt', 'portion', 'due', 'year', 'billion']"
28,Yahoo Finance,"['It is calculated based on the historical multiples that the stock has traded at, the past business growth and analyst estimates of future business performance', 'If the price of a stock is significantly above the GF Value Line, it is overvalued and its future return is likely to be poor', 'On the other hand, if it is significantly below the GF Value Line, its future return will likely be higher']","['future', 'significantly', 'line', 'return', 'stock']"
